Año Comercial,Tramo segun ventas (18 tramos),Tramo segun ventas (13 tramos),Tramo segun ventas (5 tramos),Número de empresas,Ventas anuales en UF,Número de trabajadores dependientes informados,Renta neta informada en UF,Trabajadores ponderados por meses trabajados,Número de trabajadores dependientes de género femenino informados,"Renta neta informada en UF, trabajadores de género femenino",Trabajadores de género femenino ponderados por meses trabajados,Número de trabajadores dependientes de género masculino informados,"Renta neta informada en UF, trabajadores de género masculino",Trabajadores de género masculino ponderados por meses trabajados,Número de trabajadores a honorarios informados,Honorarios pagados informados en UF,Trabajadores a honorarios ponderados por meses trabajados,Número de trabajadores a honorarios de género femenino informados,Honorarios pagados informados a trabajadores de género femenino en UF,Trabajadores a honorarios de género femenino ponderados por meses trabajados,Número de trabajadores a honorarios de género masculino informados,Honorarios pagados informados a trabajadores de género masculino en UF,Trabajadores a honorarios de género masculino ponderados por meses trabajados
2006,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,11343,397017501.57,561750,56478148.72,306542.938,165845,16629263.285,93502.292,394445,39796640.363,212835.647,230307,14379927.32,0,90359,5207983.147,0,139948,9132377.808,0
2006,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,27593,429014664.92,682370,57366789.78,367100.99,216128,18881279.486,120098.279,464801,38393384.017,246687.212,285317,18989889.966,0,113849,7233551.194,0,171468,11707059.092,0
2006,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3266,1084461578.2,808030,105792729.029,454515.964,249255,27208542.554,144575.355,556942,78441880.919,309770.526,243914,14555689.008,0,102961,5111611.097,0,140953,9396814.054,0
2006,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,23,944859803.82,44087,18307058.657,34360.744,12893,3307110.727,9564.581,31083,14981715.616,24747.413,7060,644082.797,0,2283,162327.399,0,4777,478434.161,0
2006,Tramo 11 hasta 200.000 UF,Grande 1,Grande,4039,560685089.11,559760,63544240.392,309365.358,177023,17492526.642,100193.789,381422,45931007.754,209017.236,190018,11360410.241,0,81484,4124537.735,0,108534,7187238.653,0
2006,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,385,2364960200.28,416513,111179447.566,284679.338,142992,26243046.611,93583.054,271883,84781172.661,191004.535,322745,11099609.791,0,227493,4576555.732,0,95252,6494183.012,0
2006,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,59519,206065655.28,324363,22798898.409,177224.502,106404,8555376.916,62231.892,217424,14216878.858,114838.694,177316,12897195.391,0,75600,4869766.625,0,101716,7990290.2,0
2006,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2434,209974503.36,243659,26855269.774,131967.27,83107,8295488.038,45667.145,159678,18528618.051,86227.125,104344,5534979.056,0,43378,2058216.868,0,60966,3459724.827,0
2006,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,903,1519201374.43,579444,110685000.76,360760.703,169043,25251364.144,108294.297,408832,85191404.912,252293.824,207114,12123217.393,0,101227,4365214.334,0,105887,7727326.214,0
2006,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,45,933865759.38,68424,29326732.72,53127.325,24152,6625170.5,17955.58,43984,22671755.743,35131.162,44798,2429994.9,0,22400,839593.882,0,22398,1584927.766,0
2006,Tramo 18 más de 60.000.000 UF,Grande 4,Grande,21,3148141770.75,83722,65243077.605,72365.66,26439,10846533.062,21419.58,57208,54385654.448,50937.745,21271,2305283.955,0,7563,523215.109,0,13708,1773345.332,0
2006,Tramo 3 hasta 600 UF,Micro 2,Micro,157853,57988001.22,92269,9480909.143,57474.314,37940,4666082.586,25979.993,54126,4808826.798,31460.238,120650,3015541.192,0,61175,1291719.431,0,59475,1717539.803,0
2006,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,145571,0,428538,95603695.173,358596.459,171469,38419223.433,143636.316,256356,57145613.642,214855.471,121086,10709803.397,0,53881,4360683.138,0,67205,6332757.242,0
2007,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2606,224931503.23,268833,29238759.932,139617.763,89268,8743350.515,47088.81,178812,20466398.92,92462.286,94419,5570625.142,0,41213,2079966.26,0,53206,3477576.205,0
2007,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,39102,274381589.18,478146,36974451.126,245411.956,159471,13538848.599,84648.792,317701,23397253.055,160557.498,189920,12541101.386,0,79881,5126442.379,0,110039,7375299.853,0
2007,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,12177,426149006.22,614825,60850125.782,324930.671,198192,18684763.442,104596.615,414776,42104147.76,220120.641,238092,16353394.053,0,94823,6148912.032,0,143269,10168003.337,0
